split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=7 | 58 Tutorial - 3 795
split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=6 | 59 Tutorial - 4 810
split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=5 | 60 History of Aviation 822
split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=3 | Prof. A.K.Ghosh
split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/index.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 01.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 01.txt | tail_line_position=3 | Prof. A. K. Ghost
split_new/AK Ghosh(aero)/101104062/lecture - 01.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 01.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=7 | 
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=4 | Aircraft stability and control
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 02.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 03.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 03.txt | tail_line_position=4 | Aircraft stability and control
split_new/AK Ghosh(aero)/101104062/lecture - 03.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 03.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 03.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 04.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 04.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 04.txt | tail_line_position=4 | Aircraft stability and control
split_new/AK Ghosh(aero)/101104062/lecture - 04.txt | tail_line_position=3 | Prof: A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 04.txt | tail_line_position=2 | Dept of Aerospace Engineering
